"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"WHOSIS_000002","PUBLISHED","2010","EMR","","AFG","MLE","51.5","51.50902","","","","",""
"WHOSIS_000015","PUBLISHED","2010","EMR","","AFG","MLE","15.1","15.07067","","","","",""
"WHOSIS_000007","PUBLISHED","2010","EMR","","AFG","MLE","11.1","11.13451","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EMR","","AFG","MLE","61.0","61.03658","","","","",""
"WHOSIS_000015","PUBLISHED","2010","EMR","","AFG","FMLE","15.2","15.16855","","","","",""
"WHOSIS_000007","PUBLISHED","2010","EMR","","AFG","FMLE","10.7","10.71348","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EMR","","AFG","FMLE","62.3","62.34584","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EMR","","AFG","FMLE","52.4","52.44153","","","","",""
"WHOSIS_000007","PUBLISHED","2010","EMR","","AFG","BTSX","10.9","10.90975","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EMR","","AFG","BTSX","61.7","61.65429","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EMR","","AFG","BTSX","52.6","52.60495","","","","",""
"WHOSIS_000015","PUBLISHED","2015","EMR","","AFG","BTSX","15.6","15.58858","","","","",""
"WHOSIS_000007","PUBLISHED","2010","AFR","","AGO","MLE","10.8","10.84583","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","AGO","MLE","59.1","59.13242","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","AGO","MLE","52.2","52.18073","","","","",""
"WHOSIS_000015","PUBLISHED","2015","AFR","","AGO","MLE","15.0","14.99474","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AFR","","AGO","FMLE","64.5","64.49519","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","AGO","FMLE","55.3","55.27776","","","","",""
"WHOSIS_000015","PUBLISHED","2015","AFR","","AGO","FMLE","18.4","18.41525","","","","",""
"WHOSIS_000007","PUBLISHED","2015","AFR","","AGO","FMLE","13.6","13.58552","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AFR","","AGO","BTSX","53.7","53.66165","","","","",""
"WHOSIS_000015","PUBLISHED","2015","AFR","","AGO","BTSX","16.7","16.70558","","","","",""
"WHOSIS_000007","PUBLISHED","2015","AFR","","AGO","BTSX","12.4","12.43553","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","AGO","BTSX","63.1","63.06044","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","ALB","MLE","68.0","67.99379","","","","",""
"WHOSIS_000015","PUBLISHED","2015","EUR","","ALB","MLE","20.1","20.13324","","","","",""
"WHOSIS_000007","PUBLISHED","2015","EUR","","ALB","MLE","15.9","15.89643","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","ALB","MLE","76.3","76.25368","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","ALB","MLE","68.0","67.99864","","","","",""
"WHOSIS_000015","PUBLISHED","2015","EUR","","ALB","FMLE","22.2","22.15170","","","","",""
"WHOSIS_000007","PUBLISHED","2015","EUR","","ALB","FMLE","17.5","17.45590","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","ALB","FMLE","79.9","79.90692","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","ALB","FMLE","70.3","70.25225","","","","",""
"WHOSIS_000007","PUBLISHED","2015","EUR","","ALB","BTSX","16.7","16.66335","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","ALB","BTSX","78.0","78.00018","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","ALB","BTSX","69.1","69.07545","","","","",""
"WHOSIS_000015","PUBLISHED","2019","EUR","","ALB","BTSX","21.0","21.03024","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EMR","","ARE","MLE","75.1","75.09794","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EMR","","ARE","MLE","65.8","65.84449","","","","",""
"WHOSIS_000015","PUBLISHED","2019","EMR","","ARE","MLE","19.2","19.18054","","","","",""
"WHOSIS_000007","PUBLISHED","2019","EMR","","ARE","MLE","14.1","14.13019","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EMR","","ARE","FMLE","78.4","78.42261","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EMR","","ARE","FMLE","66.2","66.18772","","","","",""
"WHOSIS_000015","PUBLISHED","2019","EMR","","ARE","FMLE","21.7","21.69320","","","","",""
"WHOSIS_000007","PUBLISHED","2019","EMR","","ARE","FMLE","15.3","15.27073","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EMR","","ARE","BTSX","66.0","65.99278","","","","",""
"WHOSIS_000015","PUBLISHED","2019","EMR","","ARE","BTSX","19.9","19.91950","","","","",""
"WHOSIS_000007","PUBLISHED","2019","EMR","","ARE","BTSX","14.5","14.46595","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AMR","","ARG","MLE","70.3","70.33520","","","","",""
"WHOSIS_000015","PUBLISHED","2019","AMR","","ARG","MLE","18.8","18.84240","","","","",""
"WHOSIS_000007","PUBLISHED","2019","AMR","","ARG","MLE","14.8","14.77404","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AMR","","ARG","FMLE","77.8","77.82746","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AMR","","ARG","FMLE","67.5","67.46180","","","","",""
"WHOSIS_000015","PUBLISHED","2019","AMR","","ARG","FMLE","23.1","23.08149","","","","",""
"WHOSIS_000007","PUBLISHED","2019","AMR","","ARG","FMLE","17.6","17.58443","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AMR","","ARG","BTSX","74.1","74.08556","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AMR","","ARG","BTSX","65.1","65.14491","","","","",""
"WHOSIS_000015","PUBLISHED","2000","AMR","","ARG","BTSX","20.2","20.18435","","","","",""
"WHOSIS_000007","PUBLISHED","2019","AMR","","ARG","BTSX","16.3","16.27429","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","ARM","MLE","68.6","68.58817","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","ARM","MLE","61.2","61.18815","","","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","","ARM","MLE","17.1","17.07504","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","ARM","FMLE","74.9","74.90656","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","ARM","FMLE","65.6","65.64015","","","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","","ARM","FMLE","20.2","20.23012","","","","",""
"WHOSIS_000007","PUBLISHED","2000","EUR","","ARM","FMLE","15.5","15.49272","","","","",""
"WHOSIS_000002","PUBLISHED","2000","EUR","","ARM","BTSX","63.5","63.50006","","","","",""
"WHOSIS_000015","PUBLISHED","2000","EUR","","ARM","BTSX","18.8","18.81273","","","","",""
"WHOSIS_000007","PUBLISHED","2000","EUR","","ARM","BTSX","14.5","14.49536","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","ARM","BTSX","73.1","73.11896","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AMR","","ATG","MLE","63.9","63.93232","","","","",""
"WHOSIS_000015","PUBLISHED","2000","AMR","","ATG","MLE","19.1","19.11551","","","","",""
"WHOSIS_000007","PUBLISHED","2000","AMR","","ATG","MLE","14.9","14.87113","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","ATG","MLE","73.6","73.56496","","","","",""
"WHOSIS_000015","PUBLISHED","2000","AMR","","ATG","FMLE","21.3","21.31565","","","","",""
"WHOSIS_000007","PUBLISHED","2000","AMR","","ATG","FMLE","16.5","16.50220","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","ATG","FMLE","78.2","78.24885","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AMR","","ATG","FMLE","68.1","68.09175","","","","",""
"WHOSIS_000007","PUBLISHED","2000","AMR","","ATG","BTSX","15.7","15.72777","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","ATG","BTSX","75.9","75.94979","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AMR","","ATG","BTSX","66.7","66.70147","","","","",""
"WHOSIS_000015","PUBLISHED","2010","AMR","","ATG","BTSX","20.5","20.49768","","","","",""
"WHOSIS_000007","PUBLISHED","2000","WPR","","AUS","MLE","16.1","16.08546","","","","",""
"WHOSIS_000001","PUBLISHED","2010","WPR","","AUS","MLE","79.8","79.83740","","","","",""
"WHOSIS_000002","PUBLISHED","2010","WPR","","AUS","MLE","69.2","69.16231","","","","",""
"WHOSIS_000015","PUBLISHED","2010","WPR","","AUS","MLE","23.3","23.28758","","","","",""
"WHOSIS_000007","PUBLISHED","2010","WPR","","AUS","MLE","17.5","17.48182","","","","",""
"WHOSIS_000001","PUBLISHED","2010","WPR","","AUS","FMLE","84.0","83.98511","","","","",""
"WHOSIS_000002","PUBLISHED","2010","WPR","","AUS","FMLE","71.2","71.18860","","","","",""
"WHOSIS_000015","PUBLISHED","2010","WPR","","AUS","FMLE","26.1","26.12805","","","","",""
"WHOSIS_000007","PUBLISHED","2010","WPR","","AUS","FMLE","19.3","19.26858","","","","",""
"WHOSIS_000002","PUBLISHED","2010","WPR","","AUS","BTSX","70.2","70.16705","","","","",""
"WHOSIS_000015","PUBLISHED","2010","WPR","","AUS","BTSX","24.7","24.73881","","","","",""
"WHOSIS_000007","PUBLISHED","2010","WPR","","AUS","BTSX","18.4","18.38645","","","","",""
"WHOSIS_000001","PUBLISHED","2015","WPR","","AUS","BTSX","82.3","82.27830","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EUR","","AUT","MLE","68.3","68.33723","","","","",""
"WHOSIS_000015","PUBLISHED","2010","EUR","","AUT","MLE","21.4","21.43645","","","","",""
"WHOSIS_000007","PUBLISHED","2010","EUR","","AUT","MLE","16.3","16.33800","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","AUT","MLE","78.6","78.60368","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","AUT","MLE","69.2","69.16929","","","","",""
"WHOSIS_000015","PUBLISHED","2010","EUR","","AUT","FMLE","25.2","25.16038","","","","",""
"WHOSIS_000007","PUBLISHED","2010","EUR","","AUT","FMLE","19.1","19.14821","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","AUT","FMLE","83.3","83.28748","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","AUT","FMLE","71.6","71.56104","","","","",""
"WHOSIS_000007","PUBLISHED","2010","EUR","","AUT","BTSX","17.8","17.83471","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","AUT","BTSX","81.0","80.98208","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","AUT","BTSX","70.4","70.39115","","","","",""
"WHOSIS_000015","PUBLISHED","2015","EUR","","AUT","BTSX","23.6","23.59105","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","AZE","MLE","67.9","67.94234","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","AZE","MLE","61.5","61.49538","","","","",""
"WHOSIS_000015","PUBLISHED","2015","EUR","","AZE","MLE","15.1","15.13816","","","","",""
"WHOSIS_000007","PUBLISHED","2015","EUR","","AZE","MLE","12.1","12.09003","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","AZE","FMLE","73.4","73.42561","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","AZE","FMLE","64.7","64.71699","","","","",""
"WHOSIS_000015","PUBLISHED","2015","EUR","","AZE","FMLE","17.9","17.94670","","","","",""
"WHOSIS_000007","PUBLISHED","2015","EUR","","AZE","FMLE","13.9","13.93332","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","AZE","FMLE","74.1","74.09107","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EUR","","AZE","BTSX","63.1","63.09249","","","","",""
"WHOSIS_000015","PUBLISHED","2015","EUR","","AZE","BTSX","16.6","16.61710","","","","",""
"WHOSIS_000007","PUBLISHED","2015","EUR","","AZE","BTSX","13.1","13.06042","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","AZE","BTSX","71.4","71.42894","","","","",""
"WHOSIS_000015","PUBLISHED","2015","AFR","","BDI","MLE","14.9","14.85207","","","","",""
"WHOSIS_000007","PUBLISHED","2015","AFR","","BDI","MLE","11.5","11.50195","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","BDI","MLE","61.5","61.54819","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AFR","","BDI","MLE","54.0","53.97522","","","","",""
"WHOSIS_000015","PUBLISHED","2015","AFR","","BDI","FMLE","17.4","17.38546","","","","",""
"WHOSIS_000007","PUBLISHED","2015","AFR","","BDI","FMLE","13.3","13.28422","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","BDI","FMLE","66.1","66.13831","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AFR","","BDI","FMLE","57.2","57.19762","","","","",""
"WHOSIS_000015","PUBLISHED","2019","AFR","","BDI","FMLE","17.6","17.62977","","","","",""
"WHOSIS_000007","PUBLISHED","2015","AFR","","BDI","BTSX","12.4","12.43473","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AFR","","BDI","BTSX","63.8","63.83847","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AFR","","BDI","BTSX","55.6","55.58415","","","","",""
"WHOSIS_000015","PUBLISHED","2019","AFR","","BDI","BTSX","16.5","16.47308","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","BEL","MLE","79.3","79.29116","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","BEL","MLE","69.8","69.76391","","","","",""
"WHOSIS_000015","PUBLISHED","2019","EUR","","BEL","MLE","22.3","22.32841","","","","",""
"WHOSIS_000007","PUBLISHED","2019","EUR","","BEL","MLE","17.2","17.17159","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","BEL","FMLE","71.3","71.31464","","","","",""
"WHOSIS_000015","PUBLISHED","2019","EUR","","BEL","FMLE","25.6","25.58330","","","","",""
"WHOSIS_000007","PUBLISHED","2019","EUR","","BEL","FMLE","19.1","19.11056","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","BEL","BTSX","77.7","77.66169","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","BEL","BTSX","70.6","70.55695","","","","",""
"WHOSIS_000015","PUBLISHED","2019","EUR","","BEL","BTSX","24.0","24.02222","","","","",""
"WHOSIS_000007","PUBLISHED","2019","EUR","","BEL","BTSX","18.2","18.17444","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","BEN","MLE","54.3","54.30958","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AFR","","BEN","MLE","48.4","48.43765","","","","",""
"WHOSIS_000015","PUBLISHED","2019","AFR","","BEN","MLE","16.1","16.12865","","","","",""
"WHOSIS_000007","PUBLISHED","2019","AFR","","BEN","MLE","12.3","12.26186","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","BEN","FMLE","58.8","58.77462","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AFR","","BEN","FMLE","50.7","50.69048","","","","",""
"WHOSIS_000007","PUBLISHED","2019","AFR","","BEN","FMLE","13.7","13.65891","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","BEN","BTSX","56.6","56.59007","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AFR","","BEN","BTSX","49.6","49.58824","","","","",""
"WHOSIS_000015","PUBLISHED","2000","AFR","","BEN","BTSX","16.1","16.07895","","","","",""
"WHOSIS_000007","PUBLISHED","2019","AFR","","BEN","BTSX","13.0","13.00527","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","BFA","MLE","49.9","49.92492","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AFR","","BFA","MLE","43.9","43.90425","","","","",""
"WHOSIS_000015","PUBLISHED","2000","AFR","","BFA","MLE","14.1","14.09927","","","","",""
"WHOSIS_000007","PUBLISHED","2000","AFR","","BFA","MLE","10.6","10.57411","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AFR","","BFA","FMLE","53.1","53.14076","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AFR","","BFA","FMLE","45.7","45.73949","","","","",""
"WHOSIS_000015","PUBLISHED","2000","AFR","","BFA","FMLE","16.6","16.62066","","","","",""
"WHOSIS_000007","PUBLISHED","2000","AFR","","BFA","FMLE","12.2","12.19648","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AFR","","BFA","BTSX","44.9","44.87911","","","","",""
"WHOSIS_000015","PUBLISHED","2000","AFR","","BFA","BTSX","15.5","15.52384","","","","",""
"WHOSIS_000007","PUBLISHED","2000","AFR","","BFA","BTSX","11.5","11.49203","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AFR","","BFA","BTSX","58.6","58.59142","","","","",""
"WHOSIS_000015","PUBLISHED","2000","SEAR","","BGD","MLE","17.1","17.10725","","","","",""
"WHOSIS_000007","PUBLISHED","2000","SEAR","","BGD","MLE","13.0","13.02715","","","","",""
"WHOSIS_000001","PUBLISHED","2010","SEAR","","BGD","MLE","68.6","68.63250","","","","",""
"WHOSIS_000002","PUBLISHED","2010","SEAR","","BGD","MLE","60.8","60.83444","","","","",""
"WHOSIS_000015","PUBLISHED","2000","SEAR","","BGD","FMLE","18.7","18.70139","","","","",""
"WHOSIS_000007","PUBLISHED","2000","SEAR","","BGD","FMLE","13.6","13.64891","","","","",""
"WHOSIS_000001","PUBLISHED","2010","SEAR","","BGD","FMLE","72.2","72.21562","","","","",""
"WHOSIS_000002","PUBLISHED","2010","SEAR","","BGD","FMLE","61.7","61.70806","","","","",""
"WHOSIS_000015","PUBLISHED","2010","SEAR","","BGD","FMLE","20.1","20.14058","","","","",""
"WHOSIS_000007","PUBLISHED","2000","SEAR","","BGD","BTSX","13.3","13.31548","","","","",""
"WHOSIS_000001","PUBLISHED","2010","SEAR","","BGD","BTSX","70.3","70.28825","","","","",""
"WHOSIS_000002","PUBLISHED","2010","SEAR","","BGD","BTSX","61.2","61.22227","","","","",""
"WHOSIS_000015","PUBLISHED","2010","SEAR","","BGD","BTSX","19.0","19.01890","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","BGR","MLE","70.2","70.18677","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EUR","","BGR","MLE","62.7","62.71970","","","","",""
"WHOSIS_000015","PUBLISHED","2010","EUR","","BGR","MLE","16.7","16.69488","","","","",""
"WHOSIS_000007","PUBLISHED","2010","EUR","","BGR","MLE","12.9","12.90611","","","","",""
"WHOSIS_000001","PUBLISHED","2010","EUR","","BGR","FMLE","77.2","77.23328","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EUR","","BGR","FMLE","67.8","67.77296","","","","",""
"WHOSIS_000015","PUBLISHED","2010","EUR","","BGR","FMLE","20.9","20.92172","","","","",""
"WHOSIS_000007","PUBLISHED","2010","EUR","","BGR","FMLE","16.2","16.17179","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","BGR","FMLE","78.0","78.04005","","","","",""
"WHOSIS_000002","PUBLISHED","2010","EUR","","BGR","BTSX","65.2","65.20113","","","","",""
"WHOSIS_000015","PUBLISHED","2010","EUR","","BGR","BTSX","18.9","18.91896","","","","",""
"WHOSIS_000007","PUBLISHED","2010","EUR","","BGR","BTSX","14.6","14.62451","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EUR","","BGR","BTSX","74.6","74.55482","","","","",""
"WHOSIS_000015","PUBLISHED","2010","EMR","","BHR","MLE","17.4","17.37833","","","","",""
"WHOSIS_000007","PUBLISHED","2010","EMR","","BHR","MLE","12.9","12.92366","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EMR","","BHR","MLE","75.9","75.86536","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EMR","","BHR","MLE","66.6","66.55479","","","","",""
"WHOSIS_000007","PUBLISHED","2010","EMR","","BHR","FMLE","13.2","13.20685","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EMR","","BHR","FMLE","77.3","77.27293","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EMR","","BHR","FMLE","65.6","65.55331","","","","",""
"WHOSIS_000015","PUBLISHED","2015","EMR","","BHR","FMLE","20.0","19.95009","","","","",""
"WHOSIS_000007","PUBLISHED","2010","EMR","","BHR","BTSX","13.1","13.08049","","","","",""
"WHOSIS_000001","PUBLISHED","2015","EMR","","BHR","BTSX","76.5","76.46371","","","","",""
"WHOSIS_000002","PUBLISHED","2015","EMR","","BHR","BTSX","66.2","66.24379","","","","",""
"WHOSIS_000015","PUBLISHED","2015","EMR","","BHR","BTSX","19.7","19.67225","","","","",""
"WHOSIS_000001","PUBLISHED","2015","AMR","","BHS","MLE","69.7","69.73015","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AMR","","BHS","MLE","62.2","62.18239","","","","",""
"WHOSIS_000015","PUBLISHED","2015","AMR","","BHS","MLE","19.3","19.30309","","","","",""
"WHOSIS_000007","PUBLISHED","2015","AMR","","BHS","MLE","15.1","15.08654","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AMR","","BHS","FMLE","66.2","66.15772","","","","",""
"WHOSIS_000015","PUBLISHED","2015","AMR","","BHS","FMLE","22.3","22.27824","","","","",""
"WHOSIS_000007","PUBLISHED","2015","AMR","","BHS","FMLE","17.2","17.24261","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","BHS","FMLE","76.6","76.58638","","","","",""
"WHOSIS_000002","PUBLISHED","2015","AMR","","BHS","BTSX","64.2","64.17484","","","","",""
"WHOSIS_000015","PUBLISHED","2015","AMR","","BHS","BTSX","20.9","20.87737","","","","",""
"WHOSIS_000007","PUBLISHED","2015","AMR","","BHS","BTSX","16.2","16.22780","","","","",""
"WHOSIS_000001","PUBLISHED","2019","AMR","","BHS","BTSX","73.2","73.21226","","","","",""
"WHOSIS_000002","PUBLISHED","2019","AMR","","BHS","BTSX","64.4","64.35382","","","","",""
"WHOSIS_000015","PUBLISHED","2015","EUR","","BIH","MLE","18.3","18.26916","","","","",""
"WHOSIS_000007","PUBLISHED","2015","EUR","","BIH","MLE","13.9","13.88780","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","BIH","MLE","74.4","74.37591","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","BIH","MLE","65.7","65.65631","","","","",""
"WHOSIS_000007","PUBLISHED","2015","EUR","","BIH","FMLE","16.1","16.07124","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","BIH","FMLE","79.1","79.08524","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","BIH","FMLE","68.7","68.68087","","","","",""
"WHOSIS_000015","PUBLISHED","2019","EUR","","BIH","FMLE","21.6","21.56212","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","BIH","BTSX","76.8","76.75007","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","BIH","BTSX","67.2","67.18837","","","","",""
"WHOSIS_000015","PUBLISHED","2019","EUR","","BIH","BTSX","20.2","20.16114","","","","",""
"WHOSIS_000007","PUBLISHED","2019","EUR","","BIH","BTSX","15.2","15.21483","","","","",""
"WHOSIS_000001","PUBLISHED","2019","EUR","","BLR","MLE","69.7","69.65255","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","BLR","MLE","62.3","62.31110","","","","",""
"WHOSIS_000015","PUBLISHED","2019","EUR","","BLR","MLE","16.0","16.03965","","","","",""
"WHOSIS_000007","PUBLISHED","2019","EUR","","BLR","MLE","12.3","12.29243","","","","",""
"WHOSIS_000002","PUBLISHED","2019","EUR","","BLR","FMLE","69.4","69.36890","","","","",""
"WHOSIS_000015","PUBLISHED","2019","EUR","","BLR","FMLE","22.5","22.48084","","","","",""
"WHOSIS_000007","PUBLISHED","2019","EUR","","BLR","FMLE","17.2","17.22416","","","","",""
"WHOSIS_000001","PUBLISHED","2000","EUR","","BLR","BTSX","68.8","68.84592","","","","",""
"WHOSIS_000015","PUBLISHED","2019","EUR","","BLR","BTSX","19.7","19.71866","","","","",""
"WHOSIS_000007","PUBLISHED","2019","EUR","","BLR","BTSX","15.1","15.10771","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AMR","","BLZ","MLE","67.2","67.17996","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AMR","","BLZ","MLE","60.3","60.33562","","","","",""
"WHOSIS_000015","PUBLISHED","2019","AMR","","BLZ","MLE","20.3","20.31975","","","","",""
"WHOSIS_000007","PUBLISHED","2019","AMR","","BLZ","MLE","15.9","15.89540","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AMR","","BLZ","FMLE","74.0","74.01778","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AMR","","BLZ","FMLE","64.6","64.57263","","","","",""
"WHOSIS_000015","PUBLISHED","2000","AMR","","BLZ","FMLE","20.7","20.72923","","","","",""
"WHOSIS_000007","PUBLISHED","2019","AMR","","BLZ","FMLE","17.6","17.60370","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AMR","","BLZ","BTSX","70.3","70.34421","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AMR","","BLZ","BTSX","62.3","62.28884","","","","",""
"WHOSIS_000015","PUBLISHED","2000","AMR","","BLZ","BTSX","18.7","18.73611","","","","",""
"WHOSIS_000001","PUBLISHED","2000","AMR","","BOL","MLE","64.8","64.81239","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AMR","","BOL","MLE","57.6","57.61206","","","","",""
"WHOSIS_000015","PUBLISHED","2000","AMR","","BOL","MLE","17.2","17.19475","","","","",""
"WHOSIS_000007","PUBLISHED","2000","AMR","","BOL","MLE","13.3","13.34274","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AMR","","BOL","FMLE","58.2","58.17820","","","","",""
"WHOSIS_000015","PUBLISHED","2000","AMR","","BOL","FMLE","18.4","18.36396","","","","",""
"WHOSIS_000007","PUBLISHED","2000","AMR","","BOL","FMLE","13.8","13.82291","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","BOL","FMLE","71.2","71.24718","","","","",""
"WHOSIS_000002","PUBLISHED","2000","AMR","","BOL","BTSX","57.9","57.89188","","","","",""
"WHOSIS_000015","PUBLISHED","2000","AMR","","BOL","BTSX","17.8","17.79955","","","","",""
"WHOSIS_000007","PUBLISHED","2000","AMR","","BOL","BTSX","13.6","13.59084","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","BOL","BTSX","70.3","70.34061","","","","",""
"WHOSIS_000015","PUBLISHED","2000","AMR","","BRA","MLE","18.0","17.95599","","","","",""
"WHOSIS_000007","PUBLISHED","2000","AMR","","BRA","MLE","13.6","13.63506","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","BRA","MLE","70.6","70.57493","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AMR","","BRA","MLE","62.0","61.98848","","","","",""
"WHOSIS_000007","PUBLISHED","2000","AMR","","BRA","FMLE","15.8","15.80470","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","BRA","FMLE","77.7","77.68340","","","","",""
"WHOSIS_000002","PUBLISHED","2010","AMR","","BRA","FMLE","65.9","65.94711","","","","",""
"WHOSIS_000015","PUBLISHED","2010","AMR","","BRA","FMLE","22.4","22.42419","","","","",""
"WHOSIS_000007","PUBLISHED","2000","AMR","","BRA","BTSX","14.8","14.76356","","","","",""
"WHOSIS_000001","PUBLISHED","2010","AMR","","BRA","BTSX","74.1","74.09258","","","","",""
